x,y,z
-1.013934509277343778e+02,1.469451370239258026e+01,-7.114599704742431641e+00
-1.012934509277343693e+02,1.479451370239257812e+01,-7.113741397857666016e+00
-1.011934509277343750e+02,1.489451370239257955e+01,-7.112882614135742188e+00
-1.011934509277343750e+02,1.499451370239258097e+01,-7.113058090209960938e+00
-1.011934509277343750e+02,1.509451370239257884e+01,-7.113529682159423828e+00
-1.011934509277343750e+02,1.519451370239258026e+01,-7.114083766937255859e+00
-1.011934509277343750e+02,1.529451370239257812e+01,-7.114463806152343750e+00
-1.011934509277343750e+02,1.539451370239257955e+01,-7.115103721618652344e+00
-1.011934509277343750e+02,1.549451370239258097e+01,-7.115412235260009766e+00
-1.011934509277343750e+02,1.559451370239257884e+01,-7.116230010986328125e+00
-1.011934509277343750e+02,1.569451370239258026e+01,-7.116384983062744141e+00
-1.010934509277343807e+02,1.579451370239257812e+01,-7.115884304046630859e+00
-1.010934509277343807e+02,1.589451370239257955e+01,-7.115845203399658203e+00
-1.010934509277343807e+02,1.599451370239258097e+01,-7.115808486938476562e+00
-1.009934509277343722e+02,1.609451370239257884e+01,-7.115768909454345703e+00
-1.009934509277343722e+02,1.619451370239258026e+01,-7.115706443786621094e+00
-1.009934509277343722e+02,1.629451370239257812e+01,-7.115681171417236328e+00
-1.009934509277343722e+02,1.639451370239257955e+01,-7.115316390991210938e+00
-1.009934509277343722e+02,1.649451370239258097e+01,-7.114796638488769531e+00
-1.009934509277343722e+02,1.659451370239257884e+01,-7.114205360412597656e+00
-1.009934509277343722e+02,1.669451370239258026e+01,-7.113834381103515625e+00
-1.009934509277343722e+02,1.679451370239257812e+01,-7.113996982574462891e+00
-1.009934509277343722e+02,1.689451370239257955e+01,-7.114317417144775391e+00
-1.009934509277343722e+02,1.699451370239258097e+01,-7.114549160003662109e+00
-1.009934509277343722e+02,1.709451370239257884e+01,-7.115009784698486328e+00
-1.009934509277343722e+02,1.719451370239258026e+01,-7.115622520446777344e+00
-1.009934509277343722e+02,1.729451370239257812e+01,-7.115969181060791016e+00
-1.009934509277343722e+02,1.739451370239257955e+01,-7.117045402526855469e+00
-1.009934509277343722e+02,1.749451370239258097e+01,-7.117630004882812500e+00
-1.009934509277343722e+02,1.759451370239257884e+01,-7.118652343750000000e+00
-1.009934509277343722e+02,1.769451370239258026e+01,-7.119706630706787109e+00
-1.009934509277343722e+02,1.779451370239257812e+01,-7.121142387390136719e+00
-1.009934509277343722e+02,1.789451370239257955e+01,-7.122265338897705078e+00
-1.009934509277343722e+02,1.799451370239258097e+01,-7.123670101165771484e+00
-1.009934509277343722e+02,1.809451370239257884e+01,-7.124460220336914062e+00
-1.009934509277343722e+02,1.819451370239258026e+01,-7.124427795410156250e+00
-1.009934509277343722e+02,1.829451370239257812e+01,-7.124479770660400391e+00
-1.009934509277343722e+02,1.839451370239257955e+01,-7.124735832214355469e+00
-1.009934509277343722e+02,1.849451370239258097e+01,-7.125197410583496094e+00
-1.009934509277343722e+02,1.859451370239257884e+01,-7.125524997711181641e+00
-1.009934509277343722e+02,1.869451370239258026e+01,-7.125875949859619141e+00
-1.009934509277343722e+02,1.879451370239257812e+01,-7.126514911651611328e+00
-1.009934509277343722e+02,1.889451370239257955e+01,-7.127054214477539062e+00
-1.009934509277343722e+02,1.899451370239258097e+01,-7.127679347991943359e+00
-1.009934509277343722e+02,1.909451370239257884e+01,-7.127818107604980469e+00
-1.009934509277343722e+02,1.919451370239258026e+01,-7.127200126647949219e+00
-1.009934509277343722e+02,1.929451370239257812e+01,-7.127287387847900391e+00
-1.009934509277343722e+02,1.939451370239257955e+01,-7.128161907196044922e+00
-1.009934509277343722e+02,1.949451370239258097e+01,-7.126842021942138672e+00
-1.009934509277343722e+02,1.959451370239257884e+01,-7.124880313873291016e+00
-1.009934509277343722e+02,1.969451370239258026e+01,-7.123501777648925781e+00
-1.009934509277343722e+02,1.979451370239257812e+01,-7.122202396392822266e+00
-1.009934509277343722e+02,1.989451370239257955e+01,-7.121103286743164062e+00
-1.009934509277343722e+02,1.999451370239258097e+01,-7.119991302490234375e+00
-1.009934509277343722e+02,2.009451370239257884e+01,-7.119564056396484375e+00
-1.009934509277343722e+02,2.019451370239258026e+01,-7.119933128356933594e+00
-1.008934509277343778e+02,2.029451370239257812e+01,-7.119941234588623047e+00
-1.008934509277343778e+02,2.039451370239257955e+01,-7.119759082794189453e+00
-1.008934509277343778e+02,2.049451370239258097e+01,-7.120368003845214844e+00
-1.008934509277343778e+02,2.059451370239258239e+01,-7.121349334716796875e+00
-1.008934509277343778e+02,2.069451370239257670e+01,-7.120812892913818359e+00
-1.008934509277343778e+02,2.079451370239257812e+01,-7.119846820831298828e+00
-1.008934509277343778e+02,2.089451370239257955e+01,-7.118926048278808594e+00
-1.008934509277343778e+02,2.099451370239258097e+01,-7.117951393127441406e+00
-1.008934509277343778e+02,2.109451370239258239e+01,-7.116983413696289062e+00
-1.008934509277343778e+02,2.119451370239257670e+01,-7.116609573364257812e+00
-1.008934509277343778e+02,2.129451370239257812e+01,-7.116556167602539062e+00
-1.008934509277343778e+02,2.139451370239257955e+01,-7.116560935974121094e+00
-1.008934509277343778e+02,2.149451370239258097e+01,-7.116725444793701172e+00
-1.008934509277343778e+02,2.159451370239258239e+01,-7.116538047790527344e+00
-1.008934509277343778e+02,2.169451370239257670e+01,-7.115811824798583984e+00
-1.008934509277343778e+02,2.179451370239257812e+01,-7.115268230438232422e+00
-1.008934509277343778e+02,2.189451370239257955e+01,-7.114255905151367188e+00
-1.008934509277343778e+02,2.199451370239258097e+01,-7.113239765167236328e+00
-1.008934509277343778e+02,2.209451370239258239e+01,-7.112861633300781250e+00
-1.008934509277343778e+02,2.219451370239257670e+01,-7.112802028656005859e+00
